treatment,outcome,t,estimate,conf.low,conf.high,conf.low90,conf.high90
income_cat_decrease,insult_people,0,-0.0591156215462249,-0.103266226174513,-0.0149650169179373,-0.0961679769607972,-0.0220632661316526
income_cat_decrease,insult_people,1,0.0598190807791504,0.0053366583976006,0.1143015031607,0.014095990576335,0.105542170981966
income_cat_decrease,insult_people,2,-0.0303556638476749,-0.078692623856335,0.0179812961609852,-0.0709213194480817,0.0102099917527319
income_cat_decrease,sympathisze_w_others_feelings,0,0.0301881972941239,-0.00929950667215878,0.0696759012604066,-0.00295092852719487,0.0633273231154427
income_cat_decrease,sympathisze_w_others_feelings,1,-0.00496731871793839,-0.0518304774270242,0.0418958399911474,-0.0442961212781198,0.034361483842243
income_cat_decrease,sympathisze_w_others_feelings,2,0.0205974373245834,-0.0178153506350809,0.0590102252842478,-0.0116395905469257,0.0528344651960925
income_cat_decrease,not_interested_in_others_problems,0,-0.0439822176757786,-0.106605725459765,0.018641290108208,-0.096537522121889,0.00857308677033179
income_cat_decrease,not_interested_in_others_problems,1,-0.03218257575589,-0.0928276837564241,0.028462532244644,-0.0830775547648799,0.0187124032530998
income_cat_decrease,not_interested_in_others_problems,2,-0.0337374451640205,-0.0944377420081452,0.0269628516801043,-0.0846787401105803,0.0172038497825394
income_cat_decrease,talk_to_different_people_parties,0,-0.135178729239444,-0.189265217635707,-0.0810922408431824,-0.180569541167317,-0.0897879173115724
income_cat_decrease,talk_to_different_people_parties,1,-0.118161702055172,-0.17057719207027,-0.0657462120400739,-0.162150167935071,-0.074173236175272
income_cat_decrease,talk_to_different_people_parties,2,-0.0858248556053881,-0.132667073044556,-0.0389826381662198,-0.12513608369785,-0.0465136275129257
income_cat_decrease,not_interested_in_others,0,-0.0438595363191914,-0.0989243619794707,0.0112052893410879,-0.090071394761078,0.00235232212269516
income_cat_decrease,not_interested_in_others,1,0.00373056763806899,-0.0520512399540393,0.0595123752301773,-0.0430830010088673,0.0505441362850052
income_cat_decrease,not_interested_in_others,2,-0.0335182790673577,-0.0846864192006409,0.0176498610659255,-0.0764599359276203,0.00942337779290495
income_cat_decrease,feel_others_emotions,0,0.0538688296735219,0.0149421910377943,0.0927954683092496,0.0212005647206679,0.086537094626376
income_cat_decrease,feel_others_emotions,1,0.0964345608733458,0.0562759493790179,0.136593172367674,0.0627323917055375,0.130136730041154
income_cat_decrease,feel_others_emotions,2,0.0142251496570126,-0.0275041878404705,0.0559544871544958,-0.0207952143264229,0.0492455136404482
income_cat_decrease,quiet_around_strangers,0,-0.0536385994400959,-0.107066875707988,-0.000210323172204312,-0.0984770223367442,-0.0088001765434476
income_cat_decrease,quiet_around_strangers,1,-0.0415992873691505,-0.0991726823413997,0.0159741076030988,-0.0899164035421995,0.00671782880389857
income_cat_decrease,quiet_around_strangers,2,-0.0382938476544697,-0.0959744606459508,0.0193867653370115,-0.0867009440257261,0.0101132487167867
income_cat_decrease,importance_open_minded,0,-0.0319203580589333,-0.107544790626525,0.0437040745086584,-0.0953863825247559,0.0315456664068894
income_cat_decrease,importance_open_minded,1,0.00114220948758624,-0.0641890283175991,0.0664734472927715,-0.0536854936256962,0.0559699126008687
income_cat_decrease,importance_open_minded,2,0.103927057600047,0.0317075231074511,0.176146592092642,0.0433185136758227,0.164535601524271
income_cat_decrease,feel_connected_to_others,0,0.0388053568232793,-0.00942386555456309,0.0870345792011218,-0.00166988250713095,0.0792805961536896
income_cat_decrease,feel_connected_to_others,1,0.0133824950500053,-0.0321352930054704,0.0589002831054809,-0.0248172368656949,0.0515822269657054
income_cat_decrease,feel_connected_to_others,2,-0.0612830661721229,-0.10830208180353,-0.014264050540716,-0.100742667984733,-0.0218234643595126
income_cat_2p_decrease,little_concern_for_others,0,-0.0337202881610911,-0.15037384394533,0.0829332676231476,-0.131619038261603,0.0641784619394212
income_cat_2p_decrease,little_concern_for_others,1,-0.176320186280935,-0.285373269728451,-0.0672671028334203,-0.267840418924895,-0.0847999536369763
income_cat_2p_decrease,little_concern_for_others,2,-0.0543524490282661,-0.170416456065281,0.0617115580087484,-0.151756434223512,0.0430515361669798
income_cat_2p_decrease,intersted_in_others,0,-0.0685720737572385,-0.163268661151481,0.0261245136370044,-0.14804395511015,0.0108998075956734
income_cat_2p_decrease,intersted_in_others,1,0.0445394889045667,-0.0287227944378803,0.117801772247014,-0.0169441574405214,0.106023135249655
income_cat_2p_decrease,intersted_in_others,2,0.127382281000723,0.0510812975442312,0.203683264457214,0.0633484771306856,0.19141608487076
income_cat_2p_decrease,comfy_around_people,0,-0.0275203865840301,-0.09414110198868,0.0391003288206198,-0.0834302534120963,0.028389480244036
income_cat_2p_decrease,comfy_around_people,1,-0.155754722521951,-0.2276437797421,-0.0838656653018017,-0.216085921176315,-0.0954235238675871
income_cat_2p_decrease,comfy_around_people,2,-0.0160574055038459,-0.0775350259435,0.0454202149358082,-0.0676510509759801,0.0355362399682883
income_cat_2p_decrease,insult_people,0,-0.0717766128789504,-0.151205467216736,0.00765224145883493,-0.138435408740838,-0.00511781701706322
income_cat_2p_decrease,insult_people,1,-0.00406168459842146,-0.0980807687784281,0.0899573995815852,-0.0829649873305026,0.0748416181336597
income_cat_2p_decrease,insult_people,2,-0.049637352806071,-0.130728964907823,0.0314542592956809,-0.117691578971972,0.0184168733598296
income_cat_2p_decrease,sympathisze_w_others_feelings,0,-0.0357042355832374,-0.102487015397583,0.0310785442311082,-0.091750111151357,0.0203416399848823
income_cat_2p_decrease,sympathisze_w_others_feelings,1,-0.0241364114592539,-0.114166321208143,0.0658934982896354,-0.0996918934745653,0.0514190705560576
income_cat_2p_decrease,sympathisze_w_others_feelings,2,0.107648995778241,0.0423466064000672,0.172951385156414,0.0528455030280958,0.162452488528386
income_cat_2p_decrease,not_interested_in_others_problems,0,-0.105449555662613,-0.20057384232971,-0.0103252689955154,-0.185280373560149,-0.0256187377650764
income_cat_2p_decrease,not_interested_in_others_problems,1,-0.120401502683199,-0.221277815479877,-0.0195251898865222,-0.205059573079347,-0.0357434322870519
income_cat_2p_decrease,not_interested_in_others_problems,2,-0.198139085335646,-0.29379994217268,-0.102478228498612,-0.278420207114833,-0.117857963556459
income_cat_2p_decrease,not_interested_in_others,0,-0.100864358314296,-0.177283051356471,-0.0244456652721224,-0.164996947182662,-0.0367317694459307
income_cat_2p_decrease,not_interested_in_others,1,0.0487124340317416,-0.0406334189046258,0.138058286968109,-0.0262689694096815,0.123693837473165
income_cat_2p_decrease,not_interested_in_others,2,-0.019953028427339,-0.110336380486305,0.0704303236316267,-0.0958051285796332,0.0558990717249551
income_cat_2p_decrease,feel_others_emotions,0,0.173209945693633,0.111533221646262,0.234886669741005,0.121449207206589,0.224970684180678
income_cat_2p_decrease,feel_others_emotions,1,0.270749887662594,0.202147907878592,0.339351867446596,0.213177291352745,0.328322483972443
income_cat_2p_decrease,feel_others_emotions,2,0.197138682761312,0.130398862745529,0.263878502777094,0.141128860192654,0.25314850532997
income_cat_2p_decrease,quiet_around_strangers,0,0.00779032299871876,-0.0772881516594162,0.0928687976568537,-0.0636097836975135,0.079190429694951
income_cat_2p_decrease,quiet_around_strangers,1,-0.0301463278196594,-0.130034677882178,0.0697420222428594,-0.113975273752607,0.0536826181132881
